,Country,TrainMAE_x,TestMAE_x,ConfirmedCases_x,index,TrainMAE,TestMAE,ConfirmedCases_y,TrainMPE,TestMPE,,MAEdiff (pos means scaler better)
0,United States,203.3772047,187.2608364,1988169300,174,203.3488212,187.212687,1988169300,1.02E-05,9.42E-06,,0.04814942
1,Brazil,397.5631865,428.4781882,1263662127,23,397.5547738,428.4862799,1263662127,3.15E-05,3.39E-05,,-0.008091697
2,Canada,30.13134109,31.07737621,77389533,29,30.14401136,31.0851106,77389533,3.90E-05,4.02E-05,,-0.007734395
3,United Kingdom,154.3024542,160.560882,201649500,61,154.3173973,160.4939101,201774982.5,7.65E-05,7.95E-05,,0.066971886
4,Russia,310.5420117,314.7349366,236420964,139,310.4074121,314.5677118,236420964,0.000131294,0.000133054,,0.167224771
5,Saudi Arabia,152.2710031,171.4794652,72281079,141,152.223908,171.1506494,72281079,0.0002106,0.000236785,,0.328815814
6,Belarus,32.16155951,54.0112472,22207770,19,32.12549048,54.09143848,22207770,0.000144659,0.00024357,,-0.080191275
7,United Arab Emirates,52.54323345,46.1686797,17850807,5,52.59725246,46.10013204,17850807,0.000294649,0.000258252,,0.06854766
8,Bangladesh,105.621648,154.1715685,56047329,14,105.6183717,150.804704,56047329,0.000188445,0.000269067,,3.366864485
9,Iran,186.0327515,239.521781,83495178,79,185.9763709,239.5562672,83495178,0.000222739,0.00028691,,-0.034486239
10,India,625.2456026,689.635949,236280915,77,625.0284462,693.7362139,236280915,0.000264528,0.000293607,,-4.100264878
11,Indonesia,99.63307003,70.73482316,21811842,76,99.6267745,70.80660556,21811842,0.000456755,0.000324625,,-0.071782406
12,Tajikistan,7.90396644,7.20231353,2161809,162,7.883058287,7.354024046,2161809,0.000364651,0.000340179,,-0.151710516
13,Italy,283.7359873,283.0694713,84738069,83,283.6669312,283.0633657,84738069,0.000334757,0.000334045,,0.006105607
14,Ukraine,66.47906139,57.65308449,17068428,172,66.50499588,57.66938823,17068428,0.000389637,0.000337872,,-0.016303742
15,Azerbaijan,17.37886976,23.50266778,6950151,9,17.54264506,23.34732099,6950151,0.000252407,0.000335925,,0.155346787
16,Egypt,82.07123795,90.81559451,25986285,51,82.07377292,90.78650455,25986285,0.000315835,0.000349363,,0.029089955
17,Turkey,217.678845,261.3877674,71818110,168,217.6344026,261.4076381,71818110,0.000303036,0.000363986,,-0.019870681
18,Qatar,98.76618673,128.556813,34813233,136,98.72881574,128.4820787,34813233,0.000283596,0.000369061,,0.074734287
19,Mexico,301.5059935,341.7853984,88509915,107,301.6703899,341.8310792,88509915,0.000340832,0.000386207,,-0.045680868
20,Algeria,14.53931389,21.19168139,5440500,49,14.68476521,20.84593367,5440500,0.000269916,0.000383162,,0.345747721
21,Moldova,29.35489057,26.87446832,6202872,105,29.42346953,27.11770194,6202872,0.000474352,0.00043718,,-0.243233628
22,Sweden,104.0392739,110.2445771,24698466,155,104.024396,110.246368,24698466,0.000421178,0.000446369,,-0.001790942
23,Afghanistan,49.80145862,51.35145654,11464362,1,49.80577523,51.39386764,11464362,0.00043444,0.000448292,,-0.042411101
24,El Salvador,12.32497572,11.95768177,2634957,147,12.34707509,12.02275284,2634957,0.000468587,0.000456279,,-0.065071067
25,Kuwait,64.68596839,78.91669476,17305353,92,64.66268662,78.50659517,17305353,0.000373657,0.000453655,,0.410099588
26,Iraq,98.85086149,99.61440772,20482254,80,98.85486505,99.57663873,20482254,0.000482637,0.000486161,,0.037768987
27,Netherlands,73.23448983,87.06839595,17742348,121,73.22217813,87.08932262,17742348,0.000412697,0.000490856,,-0.020926668
28,Chile,462.0031074,508.6981531,102438297,31,462.0385653,508.7385794,102438297,0.000451041,0.000496629,,-0.040426296
29,Nigeria,46.20355493,50.46470658,9886617,119,46.23219098,50.50778403,9886617,0.000467624,0.00051087,,-0.043077456
30,Senegal,15.38484261,13.91408163,2552472,143,15.41609064,13.9459888,2552472,0.000603967,0.000546372,,-0.031907171
31,Romania,50.27115738,55.62051273,10032282,138,50.27658529,55.24246369,10032282,0.000501148,0.000550647,,0.378049045
32,Oman,120.1098528,89.45562764,15832206,125,120.1325354,89.46608211,15832206,0.000758786,0.000565089,,-0.010454466
